,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
424,A10,-73.18155999999999,-82.333275,-71.500374,-76.99975,-74.500374,-70.45635999999999,-57.923355,-78.499626,-76.49988,-82.0,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-64.49988,-77.666885,-80.366394,-82.00075,-200.0,-79.16258,-81.15142
425,A10,-73.18155999999999,-83.86118,-72.00066,-76.66622,-72.33178,-70.45635999999999,-54.500374,-71.49377,-75.33228,-83.500374,-200,-200,-89.499626,-87.644575,-74.9773375,-64.333115,-79.379745,-80.366394,-71.54149000000001,-200.0,-80.0,-79.999
426,A10,-72.66605,-85.25506,-73.753555,-75.490535,-71.24694,-80.33344,-54.667053,-71.99434,-80.234065,-81.163905,-200,-200,-84.68092250000001,-89.99783,-78.500626,-70.7438,-79.25293,-84.33661,-71.54149000000001,-200.0,-80.33361,-78.998505
427,A10,-72.24881,-85.805695,-78.8615625,-75.490535,-68.90057,-79.9995,-55.000874,-69.49139,-77.503,-81.163905,-200,-200,-84.68092250000001,-87.644575,-82.336945,-65.25144,-79.60339,-85.50449,-75.9955,-200.0,-79.999626,-81.15142
428,A10,-72.8007,-85.503365,-78.8615625,-76.499374,-68.90057,-78.394806,-57.923355,-68.991615,-79.40809,-82.66622,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-66.4046,-80.339516,-80.366394,-73.993126,-200.0,-79.16258,-81.15142
429,A10,-73.18155999999999,-83.86118,-74.80599,-75.1956,-70.595604,-70.45635999999999,-54.8001,-71.49377,-80.511765,-81.74806,-200,-200,-89.997604,-87.99488,-81.50125,-66.002,-79.379745,-80.366394,-71.78791,-200.0,-78.194305,-78.99888
430,A10,-73.18155999999999,-83.86118,-75.84305,-74.66057,-71.33303,-78.328705,-56.84272,-71.49377,-80.234065,-81.1968,-200,-200,-89.66315,-87.644575,-82.203094,-70.7438,-79.379745,-83.7985,-71.54149000000001,-200.0,-77.659485,-78.39731
431,A10,-72.49921,-85.86234,-77.015884,-75.490535,-68.90057,-76.55604,-56.433983,-68.99302,-80.234065,-81.163905,-200,-200,-88.70509,-87.644575,-79.82508,-70.7438,-79.71556,-83.999664,-71.48856,-200.0,-77.56466,-81.15142
432,A10,-72.57121,-85.75361,-78.8615625,-74.56559,-68.90057,-74.97283,-57.923355,-68.994026,-79.431694,-81.163905,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-65.857925,-79.24706,-84.28728,-71.41832,-200.0,-79.16258,-81.15142
433,A10,-73.18155999999999,-83.86118,-77.896515,-73.989914,-72.722984,-70.45635999999999,-57.923355,-69.75133,-79.37726,-81.833565,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-66.3802,-79.379745,-80.366394,-70.861206,-200.0,-79.16258,-77.8285
434,A10,-73.18155999999999,-83.86118,-78.69471,-73.54158,-72.50573,-70.45635999999999,-57.38799,-71.49377,-79.447235,-81.163905,-200,-200,-87.85964,-87.644575,-74.9773375,-66.56222,-79.379745,-83.6206,-71.54149000000001,-200.0,-78.12392,-77.56559
435,A10,-73.18155999999999,-85.4442,-79.23277,-75.490535,-72.89837,-73.85222,-56.78256,-71.49377,-80.234065,-81.163905,-200,-200,-87.31358,-87.644575,-80.56915,-70.7438,-78.99457,-83.101395,-71.54149000000001,-200.0,-77.99763,-77.36819
436,A10,-73.003555,-85.39915,-78.8615625,-75.490535,-68.90057,-73.15727,-57.00745,-69.89164,-79.70614,-81.163905,-200,-200,-86.77468,-87.644575,-74.9773375,-70.7438,-79.096535,-82.17834,-72.33756,-200.0,-77.89645,-81.15142
437,A10,-73.22789,-85.82469,-78.8615625,-73.892334,-68.90057,-70.45635999999999,-57.923355,-69.902626,-80.195786,-81.42615,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-68.12791,-78.625145,-80.366394,-73.62178,-200.0,-79.16258,-81.15142
438,A10,-73.18155999999999,-83.86118,-79.396225,-74.08728,-73.72003,-70.45635999999999,-56.821777,-71.49377,-80.43437,-81.37241,-200,-200,-84.68092250000001,-87.99591,-80.74957,-69.873436,-79.379745,-80.366394,-74.67419,-200.0,-77.99852,-79.12468
439,A10,-73.3062,-83.86118,-79.36251,-73.994774,-68.90057,-72.2178,-56.411537,-71.49377,-80.234065,-81.33057,-200,-200,-84.68092250000001,-88.498886,-80.77771,-70.7438,-77.89131,-81.4219,-71.54149000000001,-200.0,-78.083725,-79.82197
440,A10,-73.37037,-86.520256,-79.01859,-75.490535,-68.90057,-72.53959,-56.221424,-69.91163,-80.234065,-81.163905,-200,-200,-86.795525,-88.858505,-79.68464,-70.7438,-77.58454,-81.726326,-74.61683,-200.0,-77.91946,-79.46846
441,A10,-73.50902,-86.24274,-78.8615625,-74.152855,-68.90057,-71.94521,-57.923355,-69.91914,-80.5578,-81.163905,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.47977,-77.762085,-81.5114,-74.331696,-200.0,-79.16258,-81.15142
442,A10,-73.18155999999999,-83.86118,-78.8615625,-74.43563,-72.72851,-70.45635999999999,-57.923355,-70.24085,-81.10482,-81.49988,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.205444,-79.379745,-80.366394,-73.79279,-200.0,-77.55786,-79.93909
443,A10,-73.18155999999999,-83.86118,-78.64971,-74.198906,-71.900795,-70.45635999999999,-55.984642,-71.49377,-80.95979,-80.99118,-200,-200,-85.96211,-89.00243,-79.343834,-70.26385,-79.379745,-80.366394,-71.54149000000001,-200.0,-78.20846,-80.259224
444,A10,-73.07472,-86.00439,-78.32933,-75.490535,-72.22395,-71.581726,-55.641182,-69.92914,-80.234065,-81.163905,-200,-200,-85.57093,-89.45163,-78.97426,-70.7438,-78.812035,-82.28234,-71.54149000000001,-200.0,-78.973724,-80.901695
445,A10,-72.848724,-85.52176,-78.8615625,-75.490535,-68.90057,-71.26603,-55.339973,-69.72731,-80.5081,-81.163905,-200,-200,-85.30846,-87.644575,-74.9773375,-70.038956,-79.01893,-83.22754,-73.462555,-200.0,-79.34365,-81.15142
446,A10,-72.652435,-85.4879,-78.8615625,-73.991295,-68.90057,-70.98917,-57.923355,-69.55031,-80.292755,-80.73669,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-69.84173,-79.32469,-80.366394,-73.23784,-200.0,-79.16258,-81.15142
447,A10,-73.18155999999999,-83.86118,-78.8615625,-74.237366,-71.54597,-70.45635999999999,-55.25772,-69.27099,-80.04258,-80.83628,-200,-200,-85.35611,-89.912926,-79.606964,-69.66729,-79.379745,-80.366394,-73.039085,-200.0,-79.673294,-80.97737
448,A10,-72.86969,-83.86118,-78.76225,-73.99042,-71.026024,-70.74429,-55.18442,-71.49377,-80.234065,-81.163905,-200,-200,-85.527695,-87.644575,-80.003365,-70.7438,-79.130936,-83.66707,-71.54149000000001,-200.0,-80.24658,-81.04374
449,A10,-72.81631,-85.76488,-78.8615625,-75.490535,-68.90057,-70.40952,-55.063152,-68.963806,-80.234065,-81.163905,-200,-200,-85.80222,-87.644575,-74.9773375,-70.7438,-78.95712,-83.99443,-72.33746,-200.0,-79.16258,-81.15142
450,A10,-72.88529,-85.83686,-78.8615625,-73.65786,-68.90057,-70.44231,-57.923355,-68.79927,-79.929184,-80.84831,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-69.57012,-79.06548,-80.366394,-72.81837,-200.0,-79.16258,-81.15142
451,A10,-73.18155999999999,-83.86118,-79.329315,-74.20645,-70.57004,-70.45635999999999,-57.923355,-69.605576,-80.516426,-80.58315,-200,-200,-84.68092250000001,-89.45852,-74.9773375,-69.59399,-79.379745,-80.366394,-72.88104,-200.0,-80.021324,-81.65491
452,A10,-73.18155999999999,-83.86118,-79.31012,-74.85665,-70.59643,-70.10058,-54.953716,-71.49377,-80.234065,-80.15591,-200,-200,-85.638916,-88.823944,-79.520805,-69.50944,-79.379745,-83.41197,-71.54149000000001,-200.0,-79.867775,-81.84985
453,A10,-72.947174,-85.734886,-79.2929,-75.490535,-70.27028,-69.943,-54.854424,-71.49377,-80.234065,-81.163905,-200,-200,-85.60345,-88.83782,-79.422104,-70.7438,-79.1638,-82.778435,-71.54149000000001,-200.0,-79.87423,-81.96922
454,A10,-72.84389,-85.801994,-78.8615625,-75.490535,-68.90057,-69.7017,-54.763897,-69.32069,-80.89676,-81.163905,-200,-200,-85.8897,-87.644575,-79.396194,-69.381905,-79.20462,-82.153656,-73.141205,-200.0,-79.16258,-81.15142
455,A10,-72.750175,-85.71041,-78.8615625,-74.61956,-68.90057,-69.43372,-57.923355,-69.01213,-80.657715,-80.20772,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.19315,-79.195,-80.366394,-72.89023,-200.0,-79.16258,-81.15142
456,A10,-73.18155999999999,-83.86118,-79.75476,-74.40244,-71.199036,-70.45635999999999,-55.00999,-71.49377,-80.438805,-80.48701,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.60707,-79.379745,-80.366394,-72.66039,-200.0,-79.55115,-81.65259
457,A10,-72.86001,-83.86118,-79.51311,-74.24815,-68.90057,-69.096634,-55.009537,-71.49377,-80.234065,-80.90409,-200,-200,-85.6412,-88.84974,-78.906876,-70.7438,-79.379745,-81.739265,-71.54149000000001,-200.0,-79.34477,-81.61942
458,A10,-72.63159,-85.67573,-78.8615625,-75.490535,-68.90057,-68.873215,-55.09679,-69.10556,-80.234065,-81.163905,-200,-200,-85.31699,-87.644575,-79.41168,-70.7438,-78.95943,-81.45909,-72.72114,-200.0,-79.548836,-81.49155
459,A10,-72.42157,-85.36197,-78.8615625,-73.93043,-68.90057,-68.83614,-57.923355,-69.46354,-80.46425,-80.484825,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.12369,-78.8297,-81.202515,-72.64569,-200.0,-79.16258,-81.15142
460,A10,-73.18155999999999,-83.86118,-79.43924,-73.63621,-70.9763,-70.45635999999999,-55.17759,-69.53089,-80.48773,-80.30772,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.33745,-79.379745,-80.366394,-72.74564,-200.0,-79.185905,-81.42145
461,A10,-73.18155999999999,-83.86118,-79.418594,-73.3629,-70.774216,-68.59579,-55.252644,-71.49377,-80.234065,-80.09743,-200,-200,-85.58409,-88.37777,-79.23071,-70.7438,-79.379745,-80.366394,-71.54149000000001,-200.0,-78.80759,-81.356995
462,A10,-72.183914,-85.30021,-78.8615625,-75.490535,-70.78524,-69.13218,-55.28255,-71.49377,-80.234065,-81.163905,-200,-200,-85.42157,-87.96385,-78.81241,-70.7438,-79.21901,-80.966606,-71.54149000000001,-200.0,-78.69524,-81.25368
463,A10,-72.006294,-85.33089,-78.8615625,-75.490535,-68.90057,-69.28279,-55.310486,-70.27252,-80.424576,-81.163905,-200,-200,-85.227745,-87.644575,-74.9773375,-70.7438,-79.53947,-80.74889,-72.7973,-200.0,-79.16258,-81.15142
464,A10,-71.84129,-83.86118,-79.44496,-73.46843,-70.795334,-69.42383,-57.923355,-70.71433,-80.32472,-80.421844,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.57784,-79.379745,-80.366394,-73.04551,-200.0,-79.16258,-81.15142
465,A10,-73.18155999999999,-83.86118,-79.42545,-73.48913,-70.53254,-70.45635999999999,-55.22282,-71.49377,-79.99159,-80.67479,-200,-200,-84.9209,-87.644575,-78.38221,-71.63641,-79.379745,-80.366394,-71.54149000000001,-200.0,-78.512405,-81.07309
466,A10,-71.40746,-85.40175,-79.28003,-75.490535,-70.55303,-69.59324,-55.214573,-71.49377,-80.234065,-80.60137,-200,-200,-84.71823,-87.78191,-78.317245,-70.7438,-79.517876,-80.46238,-71.54149000000001,-200.0,-78.83444,-81.11127
467,A10,-71.391594,-84.932175,-78.8615625,-75.490535,-68.90057,-69.680275,-55.3153,-70.92585,-80.234065,-81.163905,-200,-200,-84.48941,-87.61979,-78.07613,-70.7438,-79.614525,-80.89637,-73.08268,-200.0,-78.76653,-80.78668
468,A10,-73.18155999999999,-84.694786,-78.8615625,-73.508514,-68.90057,-69.514755,-57.923355,-70.69511,-79.95298,-80.40603,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.61095,-79.66709,-80.6204,-73.19337,-200.0,-79.16258,-81.15142
469,A10,-73.18155999999999,-83.86118,-79.26849,-73.48969,-70.189926,-70.45635999999999,-56.15293,-71.010216,-80.03065,-80.389305,-200,-200,-84.68092250000001,-87.58538,-74.9773375,-71.47034,-79.379745,-80.366394,-73.18621,-200.0,-78.81114,-80.950745
470,A10,-71.26291,-83.86118,-79.217735,-75.490535,-69.81144,-70.0163,-56.632374,-71.49377,-80.10355,-80.73388,-200,-200,-84.66505,-87.50129,-77.50293,-70.7438,-79.379745,-80.596245,-71.54149000000001,-200.0,-78.88855,-81.066444
471,A10,-71.03106,-83.86118,-79.48183,-75.490535,-69.45884,-70.21934,-57.15383,-71.49377,-80.234065,-81.163905,-200,-200,-84.90541,-87.37417,-76.88723,-70.7438,-79.71644,-80.53568,-71.54149000000001,-200.0,-78.89241,-81.249084
472,A10,-70.776794,-84.47304,-78.8615625,-73.471985,-68.90057,-70.37846,-57.923355,-70.7507,-80.02748,-81.163905,-200,-200,-85.01997,-87.644575,-74.9773375,-71.41455,-79.871346,-80.55287,-73.107155,-200.0,-79.16258,-81.15142
473,A10,-73.18155999999999,-83.86118,-79.12206,-73.38456,-69.12946,-70.45635999999999,-57.923355,-71.121346,-79.814316,-80.78318,-200,-200,-84.68092250000001,-87.40472,-74.9773375,-71.47324,-80.22955,-80.366394,-73.13873,-200.0,-79.16258,-81.15142
474,A10,-73.18155999999999,-83.86118,-78.89543,-73.47512,-68.8969,-70.45635999999999,-57.51486,-71.49377,-79.78612,-80.71552,-200,-200,-85.01925,-87.291695,-76.31529,-70.7438,-79.379745,-80.38823,-71.54149000000001,-200.0,-78.92999,-81.240074
475,A10,-70.74932,-83.86118,-78.60991,-75.490535,-68.64158,-70.20268,-57.694122,-71.49377,-80.234065,-80.652016,-200,-200,-84.94784,-87.187775,-75.82248,-70.7438,-80.32548,-80.1623,-71.54149000000001,-200.0,-79.06547,-81.19622
476,A10,-70.93112,-84.03772,-78.8615625,-75.490535,-68.90057,-70.164055,-57.92876,-71.22315,-80.234065,-81.163905,-200,-200,-84.707275,-87.644575,-75.67364,-70.7438,-80.72162,-80.01818,-72.82231,-200.0,-79.16258,-81.15142
477,A10,-70.93346,-83.86118,-78.8615625,-73.52686,-68.90057,-69.93777,-57.923355,-71.1808,-79.963036,-80.59228,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.31148,-80.59774,-80.366394,-72.82834,-200.0,-79.16258,-81.15142
478,A10,-73.18155999999999,-83.86118,-78.340775,-73.30961,-68.582214,-70.45635999999999,-57.804665,-71.14073,-80.197266,-80.535965,-200,-200,-84.68092250000001,-87.09187,-75.68602,-71.2651,-79.379745,-80.366394,-72.73419,-200.0,-79.16258,-81.05093
479,A10,-73.18155999999999,-83.81421,-78.398224,-73.1034,-68.70309,-69.784256,-57.717472,-71.49377,-80.234065,-80.44816,-200,-200,-84.58148,-87.644575,-75.586586,-71.15205,-79.379745,-79.983635,-71.54149000000001,-200.0,-79.06333,-81.18493
480,A10,-70.80253,-83.60395,-78.41864,-75.490535,-68.74799,-69.576515,-57.603638,-70.903046,-80.234065,-81.163905,-200,-200,-84.562126,-87.00307,-75.60154,-70.7438,-80.610886,-80.08404,-71.54149000000001,-200.0,-79.02918,-81.37849
481,A10,-70.67825,-83.441124,-78.8615625,-73.19643,-68.90057,-69.52893,-57.923355,-71.16767,-80.288864,-80.53475,-200,-200,-84.413025,-87.644575,-75.89856,-71.689804,-80.6555,-80.113976,-72.48142,-200.0,-79.16258,-81.15142
482,A10,-73.18155999999999,-83.86118,-78.471275,-73.37974,-68.92621,-70.45635999999999,-57.923355,-71.22652,-80.183235,-80.849815,-200,-200,-84.68092250000001,-86.961754,-74.9773375,-72.26599,-80.72955,-80.366394,-72.24115,-200.0,-79.16258,-81.15142
483,A10,-73.18155999999999,-83.86118,-78.488556,-73.367935,-68.89538,-70.45635999999999,-57.555237,-71.49377,-80.0511,-80.887405,-200,-200,-84.335526,-87.644575,-75.832825,-72.48607,-79.379745,-79.98185,-71.54149000000001,-200.0,-78.838745,-81.398796
484,A10,-70.62435,-83.4951,-78.248055,-75.490535,-68.833435,-69.92995,-57.598244,-71.49377,-80.234065,-81.163905,-200,-200,-84.356514,-87.12335,-76.008156,-70.7438,-80.73796,-80.07718,-71.54149000000001,-200.0,-78.90594,-81.51445
485,A10,-71.04684,-83.74976,-78.8615625,-75.490535,-68.90057,-69.96139,-57.668804,-71.187775,-80.080605,-81.163905,-200,-200,-84.50087,-87.644575,-75.84145,-70.7438,-80.53164,-80.04369,-71.94926,-200.0,-78.755714,-81.15142
486,A10,-71.38735,-83.85795,-78.8615625,-73.93848,-68.90057,-69.99152,-57.923355,-71.15085,-80.10876,-81.163905,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-72.40623,-80.30432,-80.366394,-71.702126,-200.0,-79.16258,-81.15142
487,A10,-73.18155999999999,-83.86118,-78.271805,-74.24216,-68.71032,-70.45635999999999,-57.678413,-71.02374,-80.04511,-81.163905,-200,-200,-84.68092250000001,-87.07961,-74.9773375,-72.235466,-79.379745,-80.366394,-71.46628,-200.0,-78.85363,-81.308685
488,A10,-72.01854,-83.86118,-78.29444,-74.71124,-68.68788,-69.90577,-57.5443,-71.49377,-80.014,-80.92314,-200,-200,-84.7305,-87.644575,-75.74859,-70.7438,-79.379745,-80.04236,-71.54149000000001,-200.0,-78.947296,-81.14365
489,A10,-72.3198,-83.86118,-78.8615625,-75.490535,-68.697586,-69.90844,-57.415516,-70.99284,-80.234065,-81.163905,-200,-200,-84.82918,-87.644575,-74.9773375,-70.7438,-80.59295,-80.10144,-71.36166,-200.0,-79.16258,-81.16987
490,A10,-72.6675,-83.86118,-78.8615625,-75.01352,-68.90057,-69.85494,-57.923355,-70.99306,-79.98421,-81.163905,-200,-200,-84.8938,-87.644575,-75.75666,-72.22815,-80.48739,-80.2175,-71.26158,-200.0,-79.16258,-81.15142
491,A10,-73.18155999999999,-83.86118,-78.25481,-75.1872,-68.89057,-70.45635999999999,-57.923355,-70.87574,-79.984665,-81.11508,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-72.1293,-80.328186,-80.366394,-71.136375,-200.0,-79.16258,-81.15142
492,A10,-73.18155999999999,-83.86118,-78.216934,-75.23917,-69.10515,-70.45635999999999,-57.923355,-71.49377,-79.956436,-81.14259,-200,-200,-84.89692,-87.644575,-75.953865,-72.06503,-79.379745,-80.62242,-71.54149000000001,-200.0,-78.919464,-81.43638
493,A10,-73.18155999999999,-83.86118,-78.24024,-75.490535,-68.90057,-70.19185,-57.319775,-71.49377,-80.234065,-81.168846,-200,-200,-84.78386,-87.11453,-76.01748,-70.7438,-80.14678,-80.366394,-71.54149000000001,-200.0,-79.066864,-81.72108
494,A10,-72.55975,-83.76454,-78.8615625,-75.490535,-68.90057,-70.049255,-57.283165,-71.02441,-79.95767,-81.163905,-200,-200,-84.87605,-87.644575,-75.83321,-71.85471,-79.944244,-80.66239,-71.10341,-200.0,-79.16258,-81.582375
495,A10,-72.34042,-83.86118,-78.8615625,-75.28907,-69.04248,-69.8847,-57.923355,-71.023705,-80.127045,-81.28448,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.71208,-80.114,-80.366394,-71.30111,-200.0,-79.16258,-81.15142
496,A10,-73.18155999999999,-83.86118,-78.32132,-75.70144,-68.89433,-70.45635999999999,-57.16553,-71.49377,-80.15126,-81.51416,-200,-200,-85.04961,-87.14731,-75.7477,-71.66241,-79.379745,-80.366394,-71.57597,-200.0,-79.09361,-81.507454
497,A10,-73.18155999999999,-83.86118,-78.39903,-76.125824,-68.752335,-69.75302,-57.05221,-71.49377,-80.234065,-81.163905,-200,-200,-85.13231,-87.644575,-75.69568,-70.7438,-80.0831,-80.366394,-71.54149000000001,-200.0,-79.16258,-81.43558
498,A10,-72.53133,-83.86118,-78.8615625,-75.490535,-68.90057,-69.57256,-56.969933,-71.33477,-80.234065,-81.163905,-200,-200,-85.2396,-87.644575,-75.52834,-70.7438,-80.05335,-80.471405,-71.4477,-200.0,-79.16258,-81.366554
499,A10,-72.74299,-83.57941,-78.8615625,-75.95758,-68.90057,-69.39838,-57.923355,-71.54964,-80.119644,-81.528435,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-71.44276,-80.0247,-80.20299,-71.32432,-200.0,-79.16258,-81.15142
500,A10,-73.18155999999999,-83.86118,-78.18693,-75.822716,-68.7021,-70.45635999999999,-57.923355,-71.562126,-80.06198,-81.716194,-200,-200,-84.68092250000001,-86.852684,-74.9773375,-71.31685,-80.02403,-80.366394,-71.617516,-200.0,-79.16258,-81.15142
501,A10,-73.18155999999999,-83.86118,-78.09661,-75.82749,-68.56885,-70.45635999999999,-56.8104,-71.49377,-79.92553,-81.95366,-200,-200,-85.20556,-86.68106,-75.45499,-71.27994,-79.379745,-79.832886,-71.54149000000001,-200.0,-79.1193,-81.46841
502,A10,-72.80626,-83.52952,-77.89768,-75.490535,-68.46881,-69.78228,-56.78892,-71.49377,-80.234065,-81.95497,-200,-200,-85.25437,-86.51898,-75.47061,-70.7438,-79.94322,-79.72656,-71.54149000000001,-200.0,-79.22808,-81.510895
503,A10,-72.75616,-83.481964,-78.8615625,-75.490535,-68.90057,-70.101074,-56.689304,-71.84879,-79.820625,-81.163905,-200,-200,-85.409256,-87.644575,-75.4006,-71.050255,-79.75922,-79.70661,-71.491905,-200.0,-79.44367,-81.52433
504,A10,-72.68046,-83.58969,-78.8615625,-75.8321,-68.90057,-70.45635999999999,-57.923355,-71.96172,-79.798874,-81.95623,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.8017,-79.581505,-80.366394,-71.42473,-200.0,-79.16258,-81.15142
505,A10,-73.18155999999999,-83.86118,-77.90052,-75.78355,-68.37259,-70.45635999999999,-56.59304,-71.49377,-79.77787,-81.9297,-200,-200,-85.58538,-87.644575,-75.333305,-70.562256,-79.379745,-80.366394,-71.38666,-200.0,-79.56881,-81.591675
506,A10,-72.716354,-83.86118,-77.93072,-75.8944,-68.27996,-70.020744,-56.44816,-71.49377,-80.234065,-82.068954,-200,-200,-85.543365,-86.50137,-75.10214,-70.3584,-79.48805,-79.60578,-71.54149000000001,-200.0,-79.471725,-81.683556
507,A10,-72.67009,-83.51153,-78.8615625,-75.490535,-68.90057,-69.76296,-56.308006,-72.01667,-80.234065,-81.163905,-200,-200,-85.52908,-86.6844,-74.98948,-70.7438,-79.3977,-79.50858,-71.42941,-200.0,-79.4051,-81.85235
508,A10,-72.70563,-83.43676,-78.8615625,-76.18417,-68.90057,-69.51347,-57.923355,-72.042946,-79.6793,-82.284706,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.45571,-79.379745,-79.494995,-71.54958,-200.0,-79.16258,-81.15142
509,A10,-73.18155999999999,-83.86118,-78.01421,-76.30892,-68.299545,-70.45635999999999,-57.923355,-72.09481,-79.58399,-82.33095,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.496635,-79.379745,-80.366394,-71.63961,-200.0,-79.16258,-81.75025
510,A10,-73.18155999999999,-83.86118,-78.8615625,-76.172356,-68.26451,-70.45635999999999,-56.249027,-71.49377,-79.4918,-82.161766,-200,-200,-85.48919,-86.49863,-75.01697,-70.48358,-79.379745,-80.366394,-71.54149000000001,-200.0,-79.3141,-81.67794
511,A10,-72.58092,-83.33579,-78.12166,-75.490535,-68.09711,-69.373474,-56.344276,-71.90827,-80.234065,-81.163905,-200,-200,-85.450615,-86.38626,-75.043465,-70.7438,-79.490364,-79.53488,-71.54149000000001,-200.0,-79.5443,-81.15142
512,A10,-72.51306,-83.32605,-78.8615625,-75.490535,-68.90057,-69.31357,-56.63846,-71.85848,-79.607,-81.163905,-200,-200,-85.3104,-87.644575,-75.14919,-70.497055,-79.68227,-79.44194,-71.59714,-200.0,-79.52998,-81.15142
513,A10,-72.47358,-83.28804,-78.8615625,-76.27017,-68.90057,-69.28061,-57.923355,-71.888054,-79.66777,-82.289986,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.510086,-79.76651,-80.366394,-71.58178,-200.0,-79.16258,-81.15142
514,A10,-73.18155999999999,-83.86118,-78.01151,-76.060165,-68.094536,-70.45635999999999,-56.898464,-71.49377,-79.70139,-82.25607,-200,-200,-85.09804,-86.43723,-75.09224,-70.44552,-79.379745,-80.366394,-71.54149000000001,-200.0,-79.64662,-81.60806
515,A10,-72.3836,-83.393234,-77.958206,-75.90721,-68.14463,-69.09892,-57.250366,-71.49377,-80.234065,-82.17111,-200,-200,-84.86701,-86.548,-75.116104,-70.7438,-79.74716,-79.456505,-71.54149000000001,-200.0,-79.70758,-81.46279
516,A10,-72.296555,-83.60646,-77.90672,-75.490535,-68.90057,-68.92271,-57.690964,-71.89093,-80.234065,-81.163905,-200,-200,-84.61797,-86.684326,-75.06089,-70.7438,-79.72842,-79.44468,-71.54149000000001,-200.0,-79.84373,-81.37371
517,A10,-72.18676,-83.64512,-78.8615625,-76.11029,-68.90057,-68.974014,-57.923355,-71.765945,-79.60851,-81.80402,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.33192,-79.85997,-79.38179,-71.66913,-200.0,-79.16258,-81.15142
518,A10,-73.18155999999999,-83.86118,-77.93525,-76.28222,-68.19304,-70.45635999999999,-57.923355,-71.59414,-79.51846,-81.577545,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.196526,-79.987564,-80.366394,-71.70293,-200.0,-79.16258,-81.15142
519,A10,-73.18155999999999,-83.86118,-77.93693,-75.490535,-68.239845,-70.45635999999999,-58.217243,-71.49377,-79.43112,-81.332794,-200,-200,-84.68092250000001,-86.844765,-75.11112,-70.04013,-79.379745,-79.32092,-71.54149000000001,-200.0,-79.873276,-81.26194
520,A10,-72.20741,-83.764725,-77.835655,-75.490535,-68.285126,-68.802605,-58.26106,-71.402466,-80.234065,-81.163905,-200,-200,-84.75303,-87.644575,-75.314064,-70.7438,-79.96317,-79.46513,-71.54149000000001,-200.0,-80.079636,-81.204506
521,A10,-72.10122,-83.988754,-78.8615625,-75.490535,-68.90057,-68.78297,-58.3036,-71.29199,-79.42047,-81.163905,-200,-200,-84.75919,-87.644575,-74.9773375,-70.06422,-79.81661,-79.70579,-71.60947,-200.0,-79.16258,-81.15142
522,A10,-72.09868,-83.86118,-78.8615625,-76.17592,-68.30339,-68.76389,-57.923355,-71.18488,-79.28725,-81.29895,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.13748,-79.7477,-80.366394,-71.51889,-200.0,-79.16258,-81.15142
523,A10,-73.18155999999999,-83.86118,-77.89096,-76.14687,-68.219505,-70.45635999999999,-58.32056,-71.081,-79.23129,-81.26617,-200,-200,-84.86446,-86.70055,-75.3316,-70.13407,-79.379745,-80.366394,-71.431076,-200.0,-79.90095,-81.45174
524,A10,-73.18155999999999,-83.86118,-77.91912,-76.216995,-68.08777,-68.79388,-58.361294,-71.49377,-80.234065,-81.2344,-200,-200,-84.86781,-86.768105,-75.50092,-70.7438,-79.68078,-80.03938,-71.54149000000001,-200.0,-79.727776,-81.666245
525,A10,-73.18155999999999,-83.86118,-77.921165,-75.490535,-68.90057,-68.87132,-58.37672,-71.054306,-80.234065,-81.163905,-200,-200,-85.01853,-86.832855,-75.53876,-70.7438,-79.66427,-80.28795,-71.39555,-200.0,-79.50998,-81.89916
526,A10,-73.18155999999999,-84.150795,-78.8615625,-76.08936,-68.90057,-68.826294,-57.923355,-70.97924,-79.250015,-81.30341,-200,-200,-84.68092250000001,-87.644575,-74.9773375,-70.20485,-79.62407,-80.366394,-71.45988,-200.0,-79.16258,-81.15142
